review_id,rating,length,vocab_decision,vocab_word_count,vocab_matches,llm_decision,llm_reason,agreement
AEVQ6TELA7SL6MIKIUER4AZEFLHQ_1484381899000,1,248,fail,1,picture,fail,Review focuses on replacement and does not describe visual aspects.,True
AE3KP75WV3SOQ6SXIW45LAYXKYNA_1574611278417,2,278,pass,3,light;pieces;wood,fail,Review does not describe the product's visual appearance.,False
AGLGZTQ53GFEXNR5IYITYZ3OKICA_1577593690611,2,533,fail,1,pieces,fail,Review does not describe the product's visual appearance or details.,True
AE6R44U6FVJKFPZKW2HD5N3XKVVQ_1513804586844,2,324,fail,0,,fail,Review does not describe the product's visual appearance or details.,True
AG3EQH3ZMQME22NZ4PTYL4IE5A7A_1555470541122,2,278,pass,3,attractive;board;pieces,pass,The board is described as attractive with nicely shaped pieces.,True
AG3EX7YF6STO5W2AJSYX2MHBYCBA_1590262854875,1,195,pass,4,board;pieces;plastic;wood,pass,"Describes the material as cheap plastic, indicating appearance.",True
AF4NEAQ4I6AXEPJ5IEFJUKPTXGWQ_1559570254547,3,63,pass,2,back;pieces,fail,The review does not describe the product's visual appearance.,False
AEW6LXUYSRWNMXEN5BG55LH4IQFQ_1580850704450,2,25,fail,1,inside,fail,The review does not describe any visual aspects of the product.,True
AGX5OXPGJXA5Q64JLGUVW2EI6BZA_1580463276294,3,519,pass,5,board;compartment;foam;green;pieces,pass,The review mentions the size of the chess board and pieces.,True
AG4RQNIZZYMAFO7TWFOFNZ7MSJBA_1621611597121,2,357,pass,3,back;looking;pieces,pass,The review mentions that it is a great looking product.,True
AE4U46QAPF6X4CBGYRBMKSBQ4A6Q_1464109236000,3,69,fail,1,looks,pass,The review mentions the product looks good.,False
AHXMBZ5ZI37QSIGNKIMGGM3TX4IQ_1607104886951,1,370,pass,3,board;deep;pieces,fail,"Review focuses on damage and quality control, not visual details.",False
AG7OKUWMPXY6CXTJXQB7OQD4Q3BA_1482871732000,3,225,fail,1,pictures,fail,"Review focuses on shipping issues and recipient reactions, no visual description provided.",True
AG4TYNP5UE6Q3IV4RKL24CPOHTVA_1624951698068,3,282,pass,7,board;felt;gorgeous;lined;pieces;solid;wood,pass,The review describes the board's appearance and the pieces' materials.,True
AE6MIU7YXAFESHPRJBALFWDZWHRA_1543951613764,3,158,pass,5,board;design;light;pieces;thin,pass,The review mentions the design and characteristics of the chess pieces and board.,True
AGE3SI373I4LTT5O3A4GQVKOVRSQ_1481130027000,3,769,pass,6,board;carved;looked;looking;pieces;white,pass,The review describes the chess set's appearance and quality of the pieces.,True
AGFL5OWEMACQNJ5KGW6W5LCHWWXQ_1487171699000,3,109,fail,1,green,fail,"Review focuses on functionality, not visual aspects of the chess set.",True
